,Date,Open,High,Low,Close
503,2016-03-24,105.47,106.25,104.89,105.67
504,2016-03-23,106.48,107.07,105.9,106.13
505,2016-03-22,105.25,107.29,105.21,106.72
506,2016-03-21,105.93,107.65,105.1401,105.91
507,2016-03-18,106.34,106.5,105.19,105.92
508,2016-03-17,105.52,106.47,104.96,105.8
509,2016-03-16,104.61,106.31,104.59,105.97
510,2016-03-15,103.96,105.18,103.85,104.58
511,2016-03-14,101.91,102.91,101.78,102.52
512,2016-03-11,102.24,102.28,101.5,102.26
513,2016-03-10,101.41,102.24,100.15,101.17
514,2016-03-09,101.31,101.58,100.27,101.12
515,2016-03-08,100.78,101.76,100.4,101.03
516,2016-03-07,102.39,102.83,100.96,101.87
517,2016-03-04,102.37,103.75,101.37,103.01
518,2016-03-03,100.58,101.7099,100.45,101.5
519,2016-03-02,100.51,100.89,99.64,100.75
520,2016-03-01,97.65,100.77,97.42,100.53
521,2016-02-29,96.86,98.23,96.65,96.69
522,2016-02-26,97.2,98.0237,96.58,96.91
523,2016-02-25,96.05,96.76,95.25,96.76
524,2016-02-24,93.98,96.38,93.32,96.1
525,2016-02-23,96.4,96.5,94.55,94.69
526,2016-02-22,96.31,96.9,95.92,96.88
527,2016-02-19,96.0,96.7599,95.8,96.04
528,2016-02-18,98.84,98.89,96.091,96.26
529,2016-02-17,96.67,98.21,96.15,98.12
530,2016-02-16,95.02,96.85,94.61,96.64
531,2016-02-12,94.19,94.5,93.01,93.99
532,2016-02-11,93.79,94.72,92.59,93.7
533,2016-02-10,95.92,96.35,94.1,94.27
534,2016-02-09,94.29,95.94,93.93,94.99
535,2016-02-08,93.13,95.7,93.04,95.01
536,2016-02-05,96.52,96.92,93.69,94.02
537,2016-02-04,95.86,97.33,95.19,96.6
538,2016-02-03,95.0,96.84,94.08,96.35
539,2016-02-02,95.42,96.04,94.28,94.48
540,2016-02-01,96.47,96.71,95.4,96.43
541,2016-01-29,94.79,97.34,94.35,97.34
542,2016-01-28,93.79,94.52,92.39,94.09
543,2016-01-27,96.04,96.6289,93.34,93.42
544,2016-01-26,99.93,100.88,98.07,99.99
545,2016-01-25,101.52,101.53,99.21,99.44
546,2016-01-22,98.63,101.46,98.37,101.42
547,2016-01-21,97.06,97.88,94.94,96.3
548,2016-01-20,95.1,98.1897,93.42,96.79
549,2016-01-19,98.41,98.65,95.5,96.66
